			基データ(↓日本語なら「en⇨ja」に変える	アフリカーンス語	アルバニア語	アムハラ語	アラビア文字	アルメニア語	アゼルバイジャン語	バスク語	ベラルーシ語	ベンガル文字	ボスニア語	ブルガリア語	カタロニア語	セブ語	中国語	中国語（簡体）	中国語（繁体）	コルシカ語	クロアチア語	チェコ語	デンマーク語	オランダ語	英語	エスペラント語	エストニア語	フィンランド語	フランス語	フリジア語	ガリシア語	グルジア語	ドイツ語	ギリシャ語	グジャラト語	クレオール語（ハイチ）	ハウサ語	ハワイ語	ヘブライ語	ヒンディー語	モン語	ハンガリー語	アイスランド語	イボ語	インドネシア語	アイルランド語	イタリア語	日本語	ジャワ語	カンナダ語	カザフ語	クメール語	キニヤルワンダ語	韓国語	クルド語	キルギス語	ラオ語	ラトビア語	リトアニア語	ルクセンブルク語	マケドニア語	マラガシ語	マレー語	マラヤーラム文字	マルタ語	マオリ語	マラーティー語	モンゴル語	ミャンマー語（ビルマ語）	ネパール語	ノルウェー語	ニャンジャ語（チェワ語）	オリヤ語	パシュト語	ペルシャ語	ポーランド語	ポルトガル語（ポルトガル、ブラジル）	パンジャブ語	ルーマニア語	ロシア語	サモア語	スコットランド ゲール語	セルビア語	セソト語	ショナ語	シンド語	シンハラ語	スロバキア語	スロベニア語	ソマリ語	スペイン語	スンダ語	スワヒリ語	スウェーデン語	タガログ語（フィリピン語）	タジク語	タミル語	タタール語	テルグ語	タイ語	トルコ語	トルクメン語	ウクライナ語	ウルドゥー語	ウイグル語	ウズベク語	ベトナム語	ウェールズ語	コーサ語	イディッシュ語	ヨルバ語	ズールー語
ページ	コメント	jsonProperty	en	af	sq	am	ar	hy	az	eu	be	bn	bs	bg	ca	ceb	zh	zh-CN	zh-TW	co	hr	cs	da	nl	en	eo	et	fi	fr	fy	gl	ka	de	el	gu	ht	ha	haw	he	hi	hmn	hu	is	ig	id	ga	it	ja	jv	kn	kk	km	rw	ko	ku	ky	lo	lv	lt	lb	mk	mg	ms	ml	mt	mi	mr	mn	my	ne	no	ny	or	ps	fa	pl	pt	pa	ro	ru	sm	gd	sr	st	sn	sd	si	sk	sl	so	es	su	sw	sv	tl	tg	ta	tt	te	th	tr	tk	uk	ur	ug	uz	vi	cy	xh	yi	yo	zu
タイトル画面	検索欄デフォルト	searchInGithub	Search in Github!	Soek in GitHub!	Kërkoni në GitHub!	በ Github ውስጥ ይፈልጉ!	البحث في جيثب!	Որոնել github- ում:	Github-da axtarın!	Bilatu GitHub-en!	Пошук у github!	গিথুব অনুসন্ধান!	Traži u Githipuu!	Търсене в GitHub!	Cerqueu a GitHub!	Pangitaa ang Github!	在github中搜索！	在github中搜索！	在github中搜索！	Ricerca in GitHub!	Pretražite u Githubu!	Hledejte v GitHubu!	Søg i GitHub!	Zoek in GitHub!	Search in Github!	Serĉu en github!	Otsige GitHubis!	Hae Githubista!	Recherchez dans GitHub!	Sykje yn GitHub!	Busca en GitHub!	მოძებნეთ github!	Suche in Github!	Αναζήτηση στο GitHub!	ગીથબમાં શોધો!	Rechèch nan GitHub!	Nemi Githu!	Huli ma GitHub!	חפש ב- GitHub!	GitHub में खोज!	Tshawb hauv Github!	Keresés a github -ban!	Leitaðu í Github!	Chọọ na Gititb!	Cari di GitHub!	Cuardaigh i GitHub!	Cerca in GitHub!	Githubで検索してください！	Telusuran ing github!	ಗಿಟ್‌ಹಬ್‌ನಲ್ಲಿ ಹುಡುಕಿ!	Github-та іздеу!	ស្វែងរកនៅ GitHub!	Shakisha muri Github!	Github에서 검색하십시오!	Li Github bigerin!	Гитубдан издөө!	ຄົ້ນຫາໃນ GitHub!	Meklēt Github!	Ieškokite „Github“!	Sich am Github!	Пребарувајте во Github!	Mikaroka ao amin'ny GitHub!	Cari di GitHub!	ജിതുബിൽ തിരയുക!	Fittex f'Github!	Rapua i a GitHub!	गीथब मध्ये शोध!	GitHub-т хайх!	github တွင်ရှာဖွေပါ။	Github मा खोज!	Søk i Github!	Sakani ku Github!	Gititub ରେ ସନ୍ଧାନ କରନ୍ତୁ!	په ګیتوب کې لټون!	جستجو در GitHub!	Wyszukaj w Github!	Pesquise no Github!	ਗਿੱਟਬ ਵਿੱਚ ਖੋਜ ਕਰੋ!	Căutați în Github!	Поиск в GitHub!	Saili i GitHub!	Rannsaich ann an Github!	Претражите у Гитхуб-у!	Batla Github!	Tsvaga muGitHub!	گٽب ۾ ڳوليو!	GitHub හි සොයන්න!	Vyhľadajte v GitHub!	Poiščite v Githubu!	Raadi Git'ub!	¡Buscar en Github!	Milarian GitHub!	Tafuta katika GitHub!	Sök i GitHub!	Maghanap sa GitHub!	Ҷустуҷӯ дар github!	கிட்ஹப்பில் தேடுங்கள்!	Гитубта эзләгез!	గితుబ్‌లో శోధించండి!	ค้นหาใน GitHub!	Github'da arama!	GitHub-da gözläň!	Пошук у Github!	گٹ ہب میں تلاش کریں!	GitHub دىن ئىزدەڭ!	Github-da qidiring!	Tìm kiếm trong GitHub!	Chwilio yn GitHub!	Khangela kwiGitITUB!	זוכן אין גיטהוב!	Wa ni Githib!	Sesha eGitHub!
	ソート方法	sortOptions	Sort options	Sorteer opsies	Renditni opsionet	የመደርደር አማራጮች	خيارات فرز	Տեսակավորել ընտրանքները	Sort variantları sırala	Ordenatzeko aukerak	Параметры сартавання	বাছাই বিকল্প	Opcije sortiranja	Опции за сортиране	Ordena les opcions	Pagsunud sa mga kapilian	排序选项	排序选项	排序選項	Opzioni di sorta	Opcije sortirajte	Možnosti třídění	Sorteringsmuligheder	Sorteer opties	Sort options	Ordigu eblojn	Sortige valikud	Lajittele vaihtoehdot	Trier les options	Opsjes kontrolearje	Opcións de ordenación	დალაგების პარამეტრები	Sortieren Sie Optionen	Επιλογές ταξινόμησης	સોર્ટ વિકલ્પો	Triye opsyon	Sare Zabuka	Hoʻokaʻawale nā ​​koho	מיון אפשרויות	विकल्प क्रमबद्ध करें	Txheeb Xaiv	Rendezési lehetőségek	Raða valkostum	Họkdị Nhọrọ	Urutkan opsi	Roghanna sórtála	Ordina le opzioni	オプションをソートします	Isih Pilihan	ಆಯ್ಕೆಗಳನ್ನು ವಿಂಗಡಿಸಿ	Сұрыптау опциялары	តម្រៀបជម្រើស	Gutondeka	정렬 옵션	Vebijarkên Rêzan	Опциялар сорттоо	ຕົວເລືອກຈັດຮຽງ	Kārtošanas iespējas	Rūšiuoti parinktys	Zortoptiounen	Сортирајте ги опциите	Sort Safidy	Susun pilihan	ഓപ്ഷനുകൾ അടുക്കുക	Issortja għażliet	Kōwhiringa Kōwhiringa	क्रमवारी लावा	ЧАНАССАНИШ	ရွေးချယ်စရာများစီ	क्रमबद्ध विकल्पहरू	Sorteringsalternativer	Sinthani Zosankha	ବିକଳ୍ପଗୁଡିକ ସର୍ଟ କରନ୍ତୁ |	ترتیب کړئ	گزینه های مرتب سازی	Opcje sortowania	Opções de classificação	ਕ੍ਰਮਬੱਧ ਵਿਕਲਪ	Sortare opțiuni	Варианты сортировки	Faavasega filifiliga	Roghainnean rèiteach	Поредај опције	Hlophisa likhetho	Sarudzo Sarudzo	اختيارن کي ترتيب ڏيو	වර්ග කිරීමේ විකල්ප	Možnosti	Možnosti razvrščanja	Kala sooc xulashooyinka	Opciones de clasificación	Urut pilihan	Chaguzi za aina	Sorteringsalternativ	Pagsunud -sunurin ang mga pagpipilian	Имконоти навъ	விருப்பங்களை வரிசைப்படுத்துங்கள்	Вариантларны тәртипкә китерегез	ఎంపికలను క్రమబద్ధీకరించండి	ตัวเลือกเรียงลำดับ	Sıralama Seçenekleri	Saýlawlary tertipläň	Сортування варіантів	اختیارات کو ترتیب دیں	تاللانمىلارنى تەرتىپلەش	Saralash Variantlar	Sắp xếp các tùy chọn	Didoli opsiynau	Hlela ukhetho	סאָרט אָפּציעס	Too awọn aṣayan	Hlunga Izinketho
	ソートOK	sortOk	Set	Dekor	Vendos	አዘጋጅ	تعيين	Սահման	Quraşdırmaq	Eszenatoki	Камплект	সেট	Set	Комплект	Conjunt	Ibutang	放	放	放	Set	Set	Soubor	Sæt	Set	Set	Aro	Komplekt	Aseta	Régler	Set	Conxunto	კომპლექტი	Satz	Σειρά	સમૂહ	Dekò	Sa	Hoʻonohonoho	מַעֲרֶכֶת	समूह	Chaw ua yeeb yam	Készlet	Sett	Set	Mengatur	Cuir	Impostare	設定	Setel	ನಿಗದಿ	Орнату	តសសនីយផាប	Set	세트	Danîn	Орнотуу	ກໍານົດ	Uzstādīt	Nustatytas	Gesat	Поставете	Set	Tetapkan	സജ്ജീകൃതരംഗം	Issettjat	Whakakōpā	सेट	Эд юмны цүглуулга	အစုံ	मिलाउनु	Sett	Konza	ସେଟ୍ କରନ୍ତୁ |	سیټ	تنظیم	Ustawić	Definir	ਸੈੱਟ	A stabilit	Установлен	Seti	Suidhich	Комплет	Beha	Set	سيٽال	කට්ටලය	Súbor	Set	Meelo dhigidda	Establecer	Set	Seti	Uppsättning	Itakda	Маьмӯъ	அமைக்கவும்	Куелган	సెట్	ชุด	Ayarlamak	Düzmek	Встановити	سیٹ	Set	Sozlamoq	Bộ	Hul	Seta	שטעלן	Ṣeto	Ukubeka esikhathini esithile
	ソートキャンセル	sortCancel	Cancel	Kanselleer	Anuloj	ይቅር	يلغي	Չեղարկել	Ləğv etmək	Indargabetu	Ануляваць	বাতিল	Otkazati	Отказ	Cancel · lar	Kanselahon	取消	取消	取消	Annulla	Otkazati	zrušení	Afbestille	Annuleren	Cancel	Nuligi	Tühistama	Peruuttaa	Annuler	Opheffe	Cancelar	გაუქმება	Absagen	Ματαίωση	રદ કરવું	Anile	Warware	Ke kāpae nei	לְבַטֵל	रद्द करना	Tshem	Megszünteti	Hætta við	Ikansulu	Membatalkan	Cealaigh	Annulla	キャンセル	Batal	ರದ್ದುಮಾಡು	Күшін жою	លប់ចោល	Guhagarika	취소	Bişûndekirin	Жокко чыгаруу	ຍົກເລີກ	Atcelt	Atšaukti	Ofbriechen	Откажи	hanafoana	Batalkan	റദ്ദാക്കുക	Ikkanċella	Whakakore	रद्द करा	Цуаах	ပျက်စေ	रद्द गर्नु	Avbryt	Siya	ବାତିଲ୍ କରନ୍ତୁ |	لغوه کول	لغو کردن	Anulować	Cancelar	ਰੱਦ ਕਰੋ	Anulare	Отмена	Faaleaogaina	Sguir dheth	Поништити, отказати	Hlakola	Kanzura	رد ڪري	අවලංගු කරන්න	Zrušiť	Odpovedati	Burin	Cancelar	Ngabatalkeun	Ghairi	Avbryt	Kanselahin	Манъ кардан	ரத்துசெய்	Бетерү	రద్దు చేయండి	ยกเลิก	İptal	Ýatyr	Скасувати	منسوخ کریں	بىكار قىلىش	Bekor qilmoq	Hủy bỏ	Chansliff	Rhoxisa	באָטל מאַכן	Fagilee	Hlikihla
検索結果	結果	searchResult	Result	Resultaat	Rezultoj	ውጤት	نتيجة	Արդյունք	Nəticə	Emaitza	Вынік	ফলাফল	Rezultat	Резултат	Resultat	Resulta	结果	结果	結果	U risultatu	Proizlaziti	Výsledek	Resultat	Resultaat	Result	Rezulto	Tulemus	Tulos	Résultat	Resultaat	Resultado	შედეგი	Ergebnis	Αποτέλεσμα	પરિણામ	Rezilta	Sakamako	Hopena	תוֹצָאָה	परिणाम	Qho kawg	Eredmény	Niðurstaða	Rizootu	Hasil	Iontach!	Risultato	結果	Asil	ಪರಿಣಾಮ	Нәтиже	លត្ធផល	Ibisubizo	결과	Netîce	Натыйжа	ຜົນ	Rezultāts	Rezultatas	Wëllffresseg	Резултат	vokany	Hasil	ഫലമായി	Riżultat	Hua	परिणाम	Үр дун	ရလဒ်	परिणाम	Resultat	Malipiro	ଫଳାଫଳ	پایله	نتیجه	Wynik	Resultado	ਨਤੀਜਾ	Rezultat	Результат	Iʻuga	Toradh	Резултат	Sephetho	Mhedzisiro	نتيج رخ	ප්රතිඵලය	Výsledok	Rezultat	Natiijo	Resultado	Hasilna	Matokeo	Resultat	Resulta	Натиьа	விளைவாக	Нәтиҗә	ఫలితం	ผลลัพธ์	Sonuç	Netije	Результат	نتیجہ	نەتىجە	Natija	Kết quả	Dilynant	Isiphumo	טאַכלעס	Abajade	Umphumela
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
				#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
